IdAutor,IdDocumento,NomeAutor,AnoLegislativo,CodOriginalidade,DtEntradaSistema,DtPublicacao,Ementa,IdNatureza,NroLegislativo
10592,1249131,Carlos Giannazi,2015,1249131 090315 1134,2015-03-09T00:00:00-03:00,2015-03-21T00:00:00-03:00,Autoriza o Poder Executivo a conceder isenção do Imposto sobre a Circulação de Mercadorias e Serviços (ICMS) e do Imposto sobre a Propriedade de Veículos Automotores (IPVA) para veículos movidos a gás natural veicular - GNV combinado com outro combustível.,1,187
10592,1249132,Carlos Giannazi,2015,1249132 090315 1139,2015-03-09T00:00:00-03:00,2015-03-21T00:00:00-03:00,Autoriza a isenção do pagamento de pedágio e a livre circulação aos moradores dos municípios em cujo perímetro existam praças ou postos de pedágio sem vias alternativas adequadas.,1,185
10592,1249133,Carlos Giannazi,2015,1249133 090315 1142,2015-03-09T00:00:00-03:00,2015-03-21T00:00:00-03:00,Isenta do pagamento de pedágio os veículos automotores de duas rodas.,1,184
12380,1249134,Itamar Borges,2015,1249134 090315 1144,2015-03-09T00:00:00-03:00,2015-03-18T00:00:00-03:00,"Dá a denominação de ""Emilia Mendes Neves"" ao dispositivo de acesso SPD 509/310, situado no km 509+489 metros da Rodovia Feliciano Salles da Cunha - SP 310, em Nhandeara.",1,128
10592,1249135,Carlos Giannazi,2015,1249135 090315 1144,2015-03-09T00:00:00-03:00,2015-03-20T00:00:00-03:00,Dispõe sobre a isenção de tarifa no transporte público intermunicipal para estudantes.,1,182
10592,1249136,Carlos Giannazi,2015,1249136 090315 1149,2015-03-09T00:00:00-03:00,2015-03-20T00:00:00-03:00,Propõe nova jornada de trabalho para o cargo de Psicólogo nas instituições públicas estaduais paulistas.,1,181
10592,1249137,Carlos Giannazi,2015,1249137 090315 1151,2015-03-09T00:00:00-03:00,2015-03-20T00:00:00-03:00,Amplia o prazo das licenças maternidade e paternidade de servidores públicos estaduais com filhos portadores de necessidades especiais de qualquer natureza.,1,180
10592,1249139,Carlos Giannazi,2015,1249139 090315 1154,2015-03-09T00:00:00-03:00,2015-03-20T00:00:00-03:00,"Dispõe sobre espaço para manifestação dos servidores nas páginas virtuais de domínio da Administração Pública Direta, Indireta, Autárquica e Fundacional.",1,179
12380,1249140,Itamar Borges,2015,1249140 090315 1156,2015-03-09T00:00:00-03:00,2015-03-18T00:00:00-03:00,"Dá a denominação de ""Andre Hernandez"" ao viaduto localizado no km 176+100 metros da SP 425 - Rodovia Assis Chateaubriand, em Guapiaçu.",1,129
10592,1249141,Carlos Giannazi,2015,1249141 090315 1157,2015-03-09T00:00:00-03:00,2015-03-20T00:00:00-03:00,"Autoriza o Poder Executivo a desapropriar, para fins sociais, culturais e ambientais, o terreno situado entre as ruas Augusta, Caio Prado e Marquês de Paranaguá, na Capital de São Paulo, para criar o ""Parque Augusta"".",1,178
10592,1249142,Carlos Giannazi,2015,1249142 090315 1158,2015-03-09T00:00:00-03:00,2015-03-20T00:00:00-03:00,Declara como Patrimônio Cultural Imaterial do Estado de São Paulo os espaços teatrais que especifica.,1,177
10592,1249143,Carlos Giannazi,2015,1249143 090315 1232,2015-03-09T00:00:00-03:00,2015-03-20T00:00:00-03:00,"Declara a ""Parada do Orgulho LGBT de São Paulo"" como Patrimônio Cultural Imaterial do Estado.",1,176
10592,1249145,Carlos Giannazi,2015,1249145 090315 1236,2015-03-09T00:00:00-03:00,2015-03-20T00:00:00-03:00,"Estabelece princípios, prazos e demais atos necessários para a tramitação responsável e ágil de processos relativos à vida funcional dos servidores da educação pública estadual.",1,175
10592,1249146,Carlos Giannazi,2015,1249146 090315 1238,2015-03-09T00:00:00-03:00,2015-03-20T00:00:00-03:00,Estabelece prioridade de matrícula nos estabelecimentos de ensino da rede pública para os filhos de mulheres vítimas de violência doméstica e familiar.,1,174
10592,1249148,Carlos Giannazi,2015,1249148 090315 1241,2015-03-09T00:00:00-03:00,2015-03-20T00:00:00-03:00,Autoriza a criação do Programa Estadual de Acessibilidade e Segurança da População LGBTT no Estado.,1,173
10592,1249149,Carlos Giannazi,2015,1249149 090315 1243,2015-03-09T00:00:00-03:00,2015-03-20T00:00:00-03:00,"Dispõe sobre a criação e a implementação do ""Programa Informação em Execução"" no Sistema Prisional estadual.",1,172
10592,1249150,Carlos Giannazi,2015,1249150 090315 1246,2015-03-09T00:00:00-03:00,2015-03-20T00:00:00-03:00,Dispõe sobre o Programa Estadual de Proteção aos Defensores de Direitos Humanos e sobre a Coordenação Estadual de Proteção aos Defensores de Direitos Humanos.,1,171
10592,1249152,Carlos Giannazi,2015,1249152 090315 1249,2015-03-09T00:00:00-03:00,2015-03-20T00:00:00-03:00,"Proíbe a desapropriação de áreas para ampliação do Aeroporto de Congonhas, na Capital.",1,170
10592,1249187,Carlos Giannazi,2015,1249187 090315 1341,2015-03-09T00:00:00-03:00,2015-03-19T00:00:00-03:00,Dispõe sobre a proibição de instalação de usinas hidrelétricas no Rio Pardo.,1,156
10592,1249188,Carlos Giannazi,2015,1249188 090315 1344,2015-03-09T00:00:00-03:00,2015-03-19T00:00:00-03:00,Veda a desvinculação dos hospitais universitários e dos Centros de Saúde-Escola da estrutura administrativa das Universidades Públicas Estaduais.,1,155
10592,1249190,Carlos Giannazi,2015,1249190 090315 1352,2015-03-09T00:00:00-03:00,2015-03-19T00:00:00-03:00,"Inclui artigo 117-A à Lei Complementar nº 709, de 1993, que dispõe sobre a Lei Orgânica do Tribunal de Contas do Estado de São Paulo.",2,4
10592,1249191,Carlos Giannazi,2015,1249191 090315 1355,2015-03-09T00:00:00-03:00,2015-03-15T00:00:00-03:00,"Inclui parágrafo único ao artigo 81 da lei nº 10.261, de 1968, que dispõe sobre o Estatuto dos Funcionários Públicos Civis do Estado de São Paulo.",2,9
68,1249262,Edmir Chedid,2015,1249262 090315 1611,2015-03-09T00:00:00-03:00,2015-03-14T00:00:00-03:00,"Dá a denominação de ""Clovis Rodrigues de Castro"" à passarela localizada no km 76 da Rodovia ""Engenheiro Constâncio Cintra"", SP 360, em Itatiba.",1,69
12380,1249374,Itamar Borges,2015,1249374 100315 1228,2015-03-10T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Tabapuã como Município de Interesse Turístico.,1,73
12380,1249383,Itamar Borges,2015,1249383 100315 1236,2015-03-10T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Ubarana como Município de Interesse Turístico.,1,74
12380,1249386,Itamar Borges,2015,1249386 100315 1239,2015-03-10T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Bauru como Município de Interesse Turístico.,1,75
12380,1249389,Itamar Borges,2015,1249389 100315 1244,2015-03-10T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Fernandópolis  como Município de Interesse Turístico.,1,76
12380,1249391,Itamar Borges,2015,1249391 100315 1254,2015-03-10T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Zacarias como Município de Interesse Turístico.,1,77
12380,1249392,Itamar Borges,2015,1249392 100315 1258,2015-03-10T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Valentim Gentil como Município de Interesse Turístico.,1,78
13041,1249393,Ulisses Sales,2015,1249393 100315 1304,2015-03-10T00:00:00-03:00,2015-03-12T00:00:00-03:00,"Regulamenta o Sistema de Registro de Preços previsto no artigo 15 da Lei nº 8.666, de 1993.",1,60
12380,1249394,Itamar Borges,2015,1249394 100315 1305,2015-03-10T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Santa Clara D'Oeste como Município de Interesse Turístico.,1,79
13041,1249396,Ulisses Sales,2015,1249396 100315 1311,2015-03-10T00:00:00-03:00,2015-03-11T00:00:00-03:00,"Institui a realização de pesquisa de opinião sobre serviços públicos, em especial o de transporte.",1,59
12380,1249411,Itamar Borges,2015,1249411 100315 1441,2015-03-10T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Panorama como Município de Interesse Turístico.,1,80
12380,1249416,Itamar Borges,2015,1249416 100315 1447,2015-03-10T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Pontes Gestal como Municipio de Interesse turístico.,1,81
12380,1249417,Itamar Borges,2015,1249417 100315 1450,2015-03-10T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Populina como Município de Interesse Turístico.,1,82
12380,1249429,Itamar Borges,2015,1249429 100315 1607,2015-03-10T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Tabatinga como Município de Interesse Turístico.,1,83
12380,1249430,Itamar Borges,2015,1249430 100315 1611,2015-03-10T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Santa Branca como Município de Interesse Turístico.,1,84
12380,1249434,Itamar Borges,2015,1249434 100315 1635,2015-03-10T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Itatiba como Município de Interesse Turístico.,1,85
12380,1249436,Itamar Borges,2015,1249436 100315 1641,2015-03-10T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Itapetininga como Município de Interesse Turístico.,1,86
12380,1249438,Itamar Borges,2015,1249438 100315 1648,2015-03-10T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Sud Mennucci como Município de Interesse Turístico.,1,87
12380,1249439,Itamar Borges,2015,1249439 100315 1654,2015-03-10T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Riolândia como Município de Interesse Turístico.,1,88
12380,1249441,Itamar Borges,2015,1249441 100315 1704,2015-03-10T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Guapiaçu como Município de Interesse Turístico.,1,89
12380,1249456,Itamar Borges,2015,1249456 100315 1742,2015-03-10T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Torrinha como Município de Interesse Turístico.,1,90
10599,1249465,Feliciano Filho,2015,1249465 110315 1851,2015-03-10T00:00:00-03:00,2015-03-13T00:00:00-03:00,"Dispõe sobre a obrigatoriedade da emissão de certificado de origem dos animais, no ato de sua venda, pelos estabelecimentos comerciais do Estado de São Paulo.",1,65
12380,1249535,Itamar Borges,2015,1249535 100315 1951,2015-03-10T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Mendonça como Município de Interesse Turístico.,1,92
12380,1249541,Itamar Borges,2015,1249541 100315 2003,2015-03-10T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Braúna comco Municipio de Interesse Turistico.,1,94
12380,1249641,Itamar Borges,2015,1249641 110315 1053,2015-03-11T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Cardoso como Município de Interesse Turístico.,1,96
12380,1249642,Itamar Borges,2015,1249642 110315 1102,2015-03-11T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Colina como Município de Interesse Turístico.,1,97
12380,1249643,Itamar Borges,2015,1249643 110315 1110,2015-03-11T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Guaraci como Município de Interesse Turístico.,1,98
12380,1249645,Itamar Borges,2015,1249645 110315 1116,2015-03-11T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Icém como Município de Interesse Turístico.,1,99
12380,1249646,Itamar Borges,2015,1249646 110315 1120,2015-03-11T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Indiaporã como Município de Interesse Turístico.,1,100
12380,1249650,Itamar Borges,2015,1249650 110315 1128,2015-03-11T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Matão  como Município de Interesse Turístico.,1,101
12380,1249680,Itamar Borges,2015,1249680 110315 1548,2015-03-11T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Mira Estrela como Município de Interesse Turístico.,1,102
12380,1249683,Itamar Borges,2015,1249683 110315 1552,2015-03-11T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Barbosa como Município de Interesse Turístico.,1,103
12380,1249689,Itamar Borges,2015,1249689 110315 1604,2015-03-11T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Bebedouro como Município de Interesse Turístico.,1,104
12388,1249706,Beto Trícoli,2015,1249706 110315 1658,2015-03-11T00:00:00-03:00,2015-03-13T00:00:00-03:00,"Dá a denominação de ""Momento Brasil-Itália"" ao viaduto localizado no km 74 da Rodovia D. Pedro I, SP 065, em Atibaia.",1,63
64,1249707,Roberto Engler,2015,1249707 110315 1705,2015-03-11T00:00:00-03:00,2015-03-19T00:00:00-03:00,"Dá a denominação de ""Professor Manoel Izidorio Filho"" ao Poupatempo localizado no Bairro Jardim São João, em Bebedouro.",1,140
12380,1249711,Itamar Borges,2015,1249711 110315 1713,2015-03-11T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Araçatuba como Município de Interesse Turístico.,1,107
12380,1249712,Itamar Borges,2015,1249712 110315 1720,2015-03-11T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Rubinéia como Município de Interesse Turístico.,1,108
4926,1249726,Mauro Bragato,2015,1249726 110315 1748,2015-03-11T00:00:00-03:00,2015-03-21T00:00:00-03:00,Classifica Castilho como Município de Interesse Turístico.,1,217
4926,1249746,Mauro Bragato,2015,1249746 110315 1753,2015-03-11T00:00:00-03:00,2015-03-21T00:00:00-03:00,Classifica Lucélia como Município de Interesse Turístico.,1,218
4926,1249757,Mauro Bragato,2015,1249757 110315 1804,2015-03-11T00:00:00-03:00,2015-03-21T00:00:00-03:00,Classifica Martinópolis como Município de Interesse Turístico.,1,219
64,1249758,Roberto Engler,2015,1249758 110315 1808,2015-03-11T00:00:00-03:00,2015-03-19T00:00:00-03:00,"Dá a denominação de ""Benedito Francisco dos Santos - Ditão"" à ponte localizada no km 135 + 720m da SP 373 (Rodovia Genoveva Lima de Carvalho Dias), em Jaborandi.",1,141
12380,1249761,Itamar Borges,2015,1249761 110315 1809,2015-03-11T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Três Fronteiras como Município de Interesse Turístico.,1,110
4926,1249762,Mauro Bragato,2015,1249762 110315 1809,2015-03-11T00:00:00-03:00,2015-03-21T00:00:00-03:00,Classifica Panorama como Município de Interesse Turístico.,1,220
12380,1249763,Itamar Borges,2015,1249763 110315 1813,2015-03-11T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Itapura como Município de Interesse Turístico.,1,111
12380,1249767,Itamar Borges,2015,1249767 110315 1820,2015-03-11T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Andradina como Município de Interesse Turístico.,1,112
12380,1249771,Itamar Borges,2015,1249771 110315 1823,2015-03-11T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Santa Albertina como Município de Interesse Turístico.,1,113
4926,1249778,Mauro Bragato,2015,1249778 110315 1839,2015-03-11T00:00:00-03:00,2015-03-21T00:00:00-03:00,"Declara de utilidade pública a ""Associação de Amigos da Criança e do Adolescente de Cândido Mota - PROJAC"", naquele Município.",1,223
4926,1249779,Mauro Bragato,2015,1249779 110315 1842,2015-03-11T00:00:00-03:00,2015-03-21T00:00:00-03:00,"Dá a denominação de ""Vereador Adilson Ramon Monteiro Rodrigues"" ao prédio do Poupatempo instalado em Ourinhos.",1,224
4926,1249781,Mauro Bragato,2015,1249781 110315 1846,2015-03-11T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Declara de utilidade pública a ""Associação de Amparo a Criança e Adolescente de Rosana"", naquele Município.",1,226
4926,1249784,Mauro Bragato,2015,1249784 110315 1908,2015-03-11T00:00:00-03:00,2015-03-24T00:00:00-03:00,Classifica Paulicéia como Município de Interesse Turístico.,1,227
469,1249785,Roberto Felício,2015,1249785 110315 1913,2015-03-11T00:00:00-03:00,2015-03-13T00:00:00-03:00,"Regulamenta o inciso XI do art. 115 da Constituição do Estado de São Paulo, que dispõe sobre a revisão geral e anual das remunerações e subsídios dos servidores públicos estaduais dos Poderes Executivo, Legislativo e Judiciário do Estado de São Paulo, das autarquias e fundações públicas.",1,64
469,1249790,Roberto Felício,2015,1249790 110315 1931,2015-03-11T00:00:00-03:00,2015-03-13T00:00:00-03:00,"Revoga a Lei nº 1093, de 2009, que dispõe sobre a contratação por tempo determinado de que trata o inciso X do artigo 115 da Constituição Estadual.",2,2
64,1249791,Roberto Engler,2015,1249791 110315 1956,2015-03-11T00:00:00-03:00,2015-03-19T00:00:00-03:00,"Dá a denominação de ""Oswaldo Ribeiro de Mendonça"" à passagem em desnível localizada no km 47 + 320m da SP 425 (Rodovia Assis Chateaubriand), em Guaíra.",1,142
64,1249793,Roberto Engler,2015,1249793 110315 1946,2015-03-11T00:00:00-03:00,2015-03-19T00:00:00-03:00,"Dá a denominação de ""Dr. Heráclito da Motta Luiz"" ao trevo localizado ao km 124 + 050m da SP 345 (Rodovia Prefeito Fábio Talarico) com a confluência da Estrada Vicinal Joaquim Garcia Franco, em Guaíra.",1,144
12396,1249801,Carlos Cezar,2015,1249801 110315 2110,2015-03-11T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Declara de utilidade pública a entidade Contato - Obras Sociais e Educacionais, em Hortolândia.",1,248
12380,1249914,Itamar Borges,2015,1249914 120315 1109,2015-03-12T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Jales como Município de Interesse Turístico.,1,114
12380,1249915,Itamar Borges,2015,1249915 120315 1114,2015-03-12T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Lins como Município de Interesse Turístico.,1,115
4926,1249916,Mauro Bragato,2015,1249916 120315 1119,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Dá a denominação de ""Josué Borges de Andrade"" ao prédio da Delegacia de Policia Civil de Iepê.",1,228
12380,1249917,Itamar Borges,2015,1249917 120315 1120,2015-03-12T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Palestina como Município de Interesse Turístico.,1,116
12380,1249918,Itamar Borges,2015,1249918 120315 1123,2015-03-12T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Santo Antônio do Aracanguá como Município de Interesse Turístico.,1,117
12380,1249919,Itamar Borges,2015,1249919 120315 1127,2015-03-12T00:00:00-03:00,2015-03-18T00:00:00-03:00,Classifica Adolfo como Município de Interesse Turístico.,1,118
4926,1249920,Mauro Bragato,2015,1249920 120315 1136,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Dá a denominação de ""Prof. Dr. José Luiz Guimarães"" à Fatec - Faculdade de Tecnologia - de Assis, do Centro Paula Souza, naquele Município.",1,229
4926,1249921,Mauro Bragato,2015,1249921 120315 1142,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Dá a denominação de ""Prof. Carlos Umberto Carrara"" à nova Escola Estadual de Lucélia.",1,230
4926,1249922,Mauro Bragato,2015,1249922 120315 1201,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Dá a denominação de ""Antonio Carvalho Moreno"" ao Poupatempo do Município de Assis.",1,231
64,1249923,Roberto Engler,2015,1249923 120315 1202,2015-03-12T00:00:00-03:00,2015-03-21T00:00:00-03:00,"Inclui ""O Campeonato Regional de Taiaçu"", realizado anualmente em Taiaçu, no Calendário Esportivo do Estado .",1,183
4926,1249924,Mauro Bragato,2015,1249924 120315 1207,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Dá a denominação de ""Prof. Oracy Matricardi"" à nova Escola Estadual localizada no bairro Ana Jacinta, em Presidente Prudente.",1,232
4926,1249925,Mauro Bragato,2015,1249925 120315 1210,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Declara a ""Capoeira"" como Patrimônio Cultural Imaterial do Estado.",1,233
4926,1249926,Mauro Bragato,2015,1249926 120315 1214,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Dá a denominação de ""Plínio de Arruda"" ao trevo com dispositivo de segurança - passagem superior da Avenida José Bonifácio - situado no km 648 da Rodovia Comandante João Ribeiro de Barros - SP 294, em Dracena.",1,234
4926,1249927,Mauro Bragato,2015,1249927 120315 1219,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,Dispõe sobre a construção de um Centro de Medicina de Reabilitação Lucy Montoro anexo ao Hospital Regional Estadual de Presidente Prudente.,1,235
64,1249932,Roberto Engler,2015,1249932 120315 1231,2015-03-12T00:00:00-03:00,2015-03-19T00:00:00-03:00,"Dá a denominação de ""Professora Stella da Matta Ambrósio"" à Escola Estadual do Jardim Pulicano, em Franca.",1,143
13033,1249942,CPI Violações dos Direitos Humanos nas Faculdades Paulistas,2015,,2015-03-12T00:00:00-03:00,2015-03-12T00:00:00-03:00,"Altera a Lei nº 10.454, de 1999, que dispõe sobre a proibição de trote que possa colocar em risco a saúde e a integridade física dos calouros das escolas superiores.",1,61
4926,1249944,Mauro Bragato,2015,1249944 120315 1241,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Declara de utilidade pública a ""Associação Protetora Animais Silvestres Assis - APASS"", em Assis.",1,237
13033,1249945,CPI Violações dos Direitos Humanos nas Faculdades Paulistas,2015,,2015-03-12T00:00:00-03:00,2015-03-12T00:00:00-03:00,"Dispõe sobre a proibição de patrocínio de eventos estudantis por empresas que fabriquem, comercializem ou distribuam bebida alcoólica.",1,62
4926,1249947,Mauro Bragato,2015,1249947 120315 1245,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Declara de utilidade pública o Grupo de Apoio a Pacientes Portadoras de Câncer de Mama - ""Amigas do Peito"", em Presidente Prudente.",1,238
4926,1249948,Mauro Bragato,2015,1249948 120315 1249,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Declara de utilidade pública a ""Associação de Formação de Empresários Rurais da Colônia Riograndense - AFECOR"", em Maracaí.",1,239
4926,1249949,Mauro Bragato,2015,1249949 120315 1256,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Dá a denominação de ""Pastor João Carlos Padilha de Siqueira"" à Escola Estadual Jardim Santa Mônica, em Presidente Prudente.",1,240
4926,1249955,Mauro Bragato,2015,1249955 120315 1303,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Declara de utilidade pública o ""Centro Comunitário de Saúde e Cidadania Dr. Moacir Costa"", em Itatiba.",1,241
4926,1249958,Mauro Bragato,2015,1249958 120315 1320,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Dá a denominação de ""Dr. Thiago Longo Martins"" ao viaduto sobre a Rodovia Raposo Tavares - SP 270, km 576, em Álvares Machado.",1,242
4926,1249964,Mauro Bragato,2015,1249964 120315 1312,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Declara de utilidade pública o ""Grupo de Apoio ao Doente de Câncer de Monte Castelo - GADC"", em Monte Castelo.",1,254
4926,1249970,Mauro Bragato,2015,1249970 120315 1446,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Declara de utilidade pública o ""Instituto Brasileiro de Combate a Cegueira"", em Assis.",1,258
4926,1249974,Mauro Bragato,2015,1249974 120315 1449,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Declara de utilidade pública o ""Lar de Menores Dr. Arthur Ramos e Silva Junior"", em Santo Anastácio.",1,259
4926,1249977,Mauro Bragato,2015,1249977 120315 1505,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Dá a denominação de ""Saturnino Gonçalves"" ao viaduto localizado no km 480+800m da Rodovia Raposo Tavares - SP 270, em Maracaí.",1,261
4926,1249978,Mauro Bragato,2015,1249978 120315 1512,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Declara de utilidade pública a ""Comunidade Braços Abertos Brasil"", em Assis.",1,262
4926,1249980,Mauro Bragato,2015,1249980 120315 1516,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Declara de utilidade pública a ""Associação de Pais e Amigos do Centro Cultural Irmãos Quagliato - APACCIQ"", em Ourinhos.",1,263
4926,1249981,Mauro Bragato,2015,1249981 120315 1522,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,Dispõe sobre a instalação de um Posto de Atendimento do POUPATEMPO em Presidente Epitácio.,1,264
32,1249985,Celino Cardoso,2015,1249985 120315 1538,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Institui a Semana da ""Cidadania e Segurança"".",1,250
4926,1249991,Mauro Bragato,2015,1249991 120315 1546,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,Dispõe sobre a instalação de um Posto de Atendimento do POUPATEMPO em Rancharia.,1,265
4926,1249993,Mauro Bragato,2015,1249993 120315 1549,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,"Dá a denominação de ""Francisco Alves Cavalcante"" ao Centro de Lazer do Trabalhador, em Bastos.",1,266
4926,1249998,Mauro Bragato,2015,1249998 120315 1603,2015-03-12T00:00:00-03:00,2015-03-24T00:00:00-03:00,Classifica como Estância Religiosa o Município de Maracaí.,1,267
